Source;Target;Weight
gold;order;1.0
gold;other;1.0
gold;part;1.0
gold;potter;1.0
gold;power;1.0
gold;ruler;1.0
gold;sort;1.0
gold;soul;1.0
gold;state;1.0
gold;thing;1.0
gold;time;1.0
gold;truth;1.0
gold;view;1.0
gold;way;1.0
gold;work;1.0
govern;citing;1.0
govern;citizen;1.0
govern;class;1.0
govern;eye;1.0
govern;govern;1.0
govern;guardian;1.0
govern;hand;1.0
govern;happily;1.0
govern;individual;1.0
govern;injustice;1.0
govern;justice;1.0
govern;law;1.0
govern;life;1.0
govern;man;1.0
govern;men;1.0
govern;nature;1.0
govern;order;1.0
govern;other;1.0
govern;part;1.0
govern;potter;1.0
govern;power;1.0
govern;ruler;1.0
govern;sort;1.0
govern;soul;1.0
govern;state;1.0
govern;thing;1.0
govern;truth;1.0
govern;way;1.0
govern;work;1.0
guardian;guardian;1.0
guardian;state;1.0
hand;citing;1.0
hand;citizen;1.0
hand;class;1.0
hand;guardian;1.0
hand;hand;1.0
hand;happily;1.0
hand;individual;1.0
hand;injustice;1.0
hand;justice;1.0
hand;law;1.0
hand;life;1.0
hand;man;1.0
hand;men;1.0
hand;nature;1.0
hand;order;1.0
hand;other;1.0
hand;part;1.0
hand;ruler;1.0
hand;sort;1.0
hand;soul;1.0
hand;state;1.0
hand;thing;1.0
hand;truth;1.0
hand;way;1.0
hand;work;1.0
happily;guardian;1.0
happily;happily;1.0
happily;state;1.0
head;answer;1.0
head;anything;1.0
head;art;1.0
head;bodily;1.0
head;character;1.0
head;citing;1.0
head;citizen;1.0
head;class;1.0
head;constitutes;1.0
head;eye;1.0
head;form;1.0
head;friend;1.0
head;gold;1.0
head;govern;1.0
head;guardian;1.0
head;hand;1.0
head;happily;1.0
head;head;1.0
head;husbandman;1.0
head;individual;1.0
head;injustice;1.0
head;justice;1.0
head;kind;1.0
head;law;1.0
head;life;1.0
head;man;1.0
head;men;1.0
head;nature;1.0
head;number;1.0
head;one;1.0
head;order;1.0
head;other;1.0
head;part;1.0
head;potter;1.0
head;power;1.0
head;principle;1.0
head;protect;1.0
head;purport;1.0
head;question;1.0
head;reason;1.0
head;ruler;1.0
head;sort;1.0
head;soul;1.0
head;state;1.0
head;thing;1.0
head;time;1.0
head;truth;1.0
head;view;1.0
head;virtue;1.0
head;way;1.0
head;whole;1.0
