,Aemon-Targaryen-(Maester-Aemon),Arya-Stark,Barristan-Selmy,Bran-Stark,Brienne-of-Tarth,Bronn,Catelyn-Stark,Cersei-Lannister,Daenerys-Targaryen,Davos-Seaworth,Drogo,Eddard-Stark,Gregor-Clegane,Hodor,Jaime-Lannister,Jeor-Mormont,Joffrey-Baratheon,Jon-Snow,Jorah-Mormont,Loras-Tyrell,Luwin,Lysa-Arryn,Mance-Rayder,Margaery-Tyrell,Melisandre,Petyr-Baelish,Pycelle,Renly-Baratheon,Rickon-Stark,Robb-Stark,Robert-Baratheon,Samwell-Tarly,Sandor-Clegane,Sansa-Stark,Stannis-Baratheon,Theon-Greyjoy,Tommen-Baratheon,Tyrion-Lannister,Tywin-Lannister,Varys
Mance-Rayder,0.012853470437017995,0.007712082262210797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010282776349614395,0.012853470437017995,0.2879177377892031,0.0,0.0,0.0,0.0,1.0,0.0,0.015424164524421594,0.0,0.0,0.0,0.0,0.0,0.0,0.02570694087403599,0.0,0.0,0.04113110539845758,0.02313624678663239,0.0,0.0,0.0,0.0
Margaery-Tyrell,0.0,0.0,0.0,0.0,0.0,0.0,0.00904977375565611,0.17873303167420815,0.0,0.0,0.0,0.0,0.0,0.0,0.02262443438914027,0.0,0.12669683257918551,0.0,0.0,0.07013574660633484,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.042986425339366516,0.0,0.0,0.011312217194570135,0.0,0.0,0.09276018099547512,0.0,0.0,0.11538461538461539,0.02262443438914027,0.0,0.006787330316742082
Melisandre,0.0,0.012232415902140673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19571865443425077,0.0,0.0,0.0,0.0,0.0,0.0,0.012232415902140673,0.1743119266055046,0.0,0.0,0.0,0.0,0.01834862385321101,0.0,1.0,0.0,0.0,0.012232415902140673,0.0,0.0,0.0,0.021406727828746176,0.0,0.0,0.26605504587155965,0.0,0.0,0.0,0.0,0.0
Petyr-Baelish,0.0,0.004092769440654843,0.009549795361527967,0.004092769440654843,0.0,0.0,0.04229195088676671,0.036834924965893585,0.0,0.0,0.0,0.11596180081855388,0.004092769440654843,0.0,0.015006821282401092,0.0,0.05320600272851296,0.0,0.0,0.0068212824010914054,0.0,0.06412005457025921,0.0,0.0,0.0,1.0,0.03547066848567531,0.023192360163710776,0.0,0.008185538881309686,0.040927694406548434,0.0,0.004092769440654843,0.08321964529331514,0.010914051841746248,0.0,0.0,0.09686221009549795,0.0068212824010914054,0.08185538881309687
Pycelle,0.0,0.0,0.022408963585434174,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.10084033613445378,0.01680672268907563,0.0,0.028011204481792718,0.0,0.05322128851540616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07282913165266107,1.0,0.0196078431372549,0.0,0.0,0.08123249299719888,0.0,0.0,0.022408963585434174,0.03361344537815126,0.0,0.0,0.09243697478991597,0.036414565826330535,0.09803921568627451
Renly-Baratheon,0.0,0.0,0.02034428794992175,0.004694835680751174,0.057902973395931145,0.0,0.08607198748043818,0.018779342723004695,0.0,0.009389671361502348,0.0,0.0594679186228482,0.0,0.0,0.04381846635367762,0.0,0.03912363067292645,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,0.0297339593114241,0.006259780907668232,0.026604068857589983,0.010954616588419406,1.0,0.0,0.03912363067292645,0.12519561815336464,0.0,0.010954616588419406,0.025039123630672927,0.17214397496087636,0.0,0.0,0.03599374021909233,0.004694835680751174,0.028169014084507043
Rickon-Stark,0.0,0.057971014492753624,0.0,0.3739130434782609,0.0,0.0,0.017391304347826087,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.03188405797101449,0.0,0.0,0.0,0.0463768115942029,0.0,0.0,0.06086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1536231884057971,0.0,0.0,0.0,0.057971014492753624,0.0,0.057971014492753624,0.0,0.011594202898550725,0.0,0.0
Robb-Stark,0.0,0.03089887640449438,0.0,0.11867977528089887,0.0035112359550561797,0.0,0.0898876404494382,0.010533707865168539,0.0,0.002106741573033708,0.0,0.032303370786516857,0.0028089887640449437,0.0035112359550561797,0.028792134831460675,0.0,0.03441011235955056,0.06390449438202248,0.0,0.0,0.018258426966292134,0.0,0.0,0.0,0.0,0.004213483146067416,0.0,0.0175561797752809,0.037219101123595506,1.0,0.006320224719101123,0.0028089887640449437,0.0,0.03089887640449438,0.01544943820224719,0.05337078651685393,0.0,0.03089887640449438,0.021067415730337078,0.002106741573033708
Robert-Baratheon,0.003360215053763441,0.0114247311827957,0.034274193548387094,0.00739247311827957,0.0020161290322580645,0.0,0.018145161290322582,0.09005376344086022,0.01747311827956989,0.0,0.0020161290322580645,0.22446236559139784,0.002688172043010753,0.0,0.046370967741935484,0.002688172043010753,0.043010752688172046,0.019489247311827957,0.006720430107526882,0.004704301075268817,0.0,0.005376344086021506,0.0,0.003360215053763441,0.0,0.020161290322580645,0.019489247311827957,0.053763440860215055,0.0,0.006048387096774193,1.0,0.0,0.009408602150537635,0.023521505376344086,0.0456989247311828,0.0,0.008064516129032258,0.028225806451612902,0.019489247311827957,0.02956989247311828
Samwell-Tarly,0.10599571734475374,0.0,0.0,0.011777301927194861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05460385438972163,0.0,0.24411134903640258,0.0,0.0,0.0,0.0,0.010706638115631691,0.0,0.007494646680942184,0.0,0.0,0.0,0.0,0.004282655246252677,0.0,1.0,0.0,0.0,0.03961456102783726,0.0,0.0,0.0,0.0,0.0
Sandor-Clegane,0.0,0.10984848484848485,0.005681818181818182,0.0,0.022727272727272728,0.0,0.0,0.03598484848484849,0.0,0.0,0.0,0.026515151515151516,0.058712121212121215,0.0,0.03977272727272727,0.0,0.13446969696969696,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.005681818181818182,0.0,0.013257575757575758,0.0,0.0,0.026515151515151516,0.0,1.0,0.10037878787878787,0.0,0.0,0.00946969696969697,0.04734848484848485,0.0,0.0
Sansa-Stark,0.0,0.10019392372333549,0.0019392372333548805,0.01616031027795734,0.015513897866839044,0.0,0.02068519715578539,0.06140917905623788,0.0,0.0,0.0,0.027795733678086618,0.003232062055591467,0.0,0.014867485455720749,0.0,0.14350355526826114,0.007110536522301228,0.0,0.017453135100193924,0.0,0.026502908855850032,0.0,0.026502908855850032,0.0,0.0394311570782159,0.005171299288946348,0.010342598577892695,0.012928248222365869,0.028442146089204912,0.02262443438914027,0.0,0.03425985778926956,1.0,0.007110536522301228,0.0,0.008403361344537815,0.07627666451195864,0.003878474466709761,0.005171299288946348
Stannis-Baratheon,0.008727272727272728,0.0,0.0,0.0,0.0036363636363636364,0.002181818181818182,0.017454545454545455,0.030545454545454546,0.0,0.09527272727272727,0.0,0.02327272727272727,0.0,0.0,0.008727272727272728,0.0,0.03272727272727273,0.06618181818181817,0.0,0.002909090909090909,0.0,0.002909090909090909,0.011636363636363636,0.0,0.06327272727272727,0.005818181818181818,0.008727272727272728,0.08,0.0,0.016,0.04945454545454545,0.02690909090909091,0.0,0.008,1.0,0.007272727272727273,0.011636363636363636,0.03781818181818182,0.02181818181818182,0.007272727272727273
Theon-Greyjoy,0.0,0.008951406649616368,0.0,0.08184143222506395,0.0,0.0,0.017902813299232736,0.0,0.0,0.0,0.0,0.03964194373401535,0.0,0.0,0.005115089514066497,0.0,0.0,0.020460358056265986,0.0,0.0,0.034526854219948847,0.0,0.011508951406649617,0.0,0.0,0.0,0.0,0.0,0.02557544757033248,0.09718670076726342,0.0,0.0,0.0,0.0,0.01278772378516624,1.0,0.0,0.0038363171355498722,0.0038363171355498722,0.0
Tommen-Baratheon,0.0,0.00927643784786642,0.0,0.014842300556586271,0.0055658627087198514,0.012987012987012988,0.0,0.20593692022263452,0.0,0.0,0.0,0.0,0.0,0.0,0.06679035250463822,0.0,0.14285714285714285,0.0,0.0,0.02411873840445269,0.0055658627087198514,0.0,0.0,0.09461966604823747,0.0,0.0,0.0,0.0,0.0,0.0,0.022263450834879406,0.0,0.00927643784786642,0.02411873840445269,0.029684601113172542,0.0,1.0,0.04823747680890538,0.02040816326530612,0.0
Tyrion-Lannister,0.0,0.0038287504350852765,0.0010442046641141664,0.010790114862513052,0.0024364775495997215,0.04768534632788026,0.024016707274625827,0.07274625826662026,0.005917159763313609,0.0,0.0,0.013922728854855551,0.010442046641141664,0.0,0.03933170901496694,0.009397841977027498,0.07622694048033414,0.01949182039679777,0.009397841977027498,0.007309432648799165,0.003480682213713888,0.012530455969369997,0.0,0.003480682213713888,0.0,0.024712843717368604,0.01148625130525583,0.008005569091541943,0.0013922728854855553,0.015315001740341106,0.01461886529759833,0.0,0.00870170553428472,0.041072050121823876,0.01809954751131222,0.0010442046641141664,0.00904977375565611,1.0,0.04072398190045249,0.037243299686738604
Tywin-Lannister,0.0,0.01884057971014493,0.0,0.0,0.004347826086956522,0.010144927536231883,0.030434782608695653,0.08260869565217391,0.0,0.0,0.0,0.02608695652173913,0.028985507246376812,0.0,0.07391304347826087,0.0,0.0536231884057971,0.0,0.0,0.0,0.0,0.005797101449275362,0.0,0.0,0.0,0.007246376811594203,0.01884057971014493,0.004347826086956522,0.0,0.043478260869565216,0.042028985507246375,0.0,0.0,0.008695652173913044,0.043478260869565216,0.004347826086956522,0.015942028985507246,0.16956521739130434,1.0,0.013043478260869565
Varys,0.0,0.0,0.024630541871921183,0.0,0.0,0.019704433497536946,0.016420361247947456,0.08702791461412152,0.013136288998357963,0.0,0.0,0.10509031198686371,0.0,0.0,0.031198686371100164,0.0,0.060755336617405585,0.0,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.09852216748768473,0.05747126436781609,0.029556650246305417,0.0,0.0049261083743842365,0.0722495894909688,0.0,0.0,0.013136288998357963,0.016420361247947456,0.0,0.0,0.17569786535303777,0.014778325123152709,1.0
