Source;Target;Weight
man;mind;0.01674515960230246
state;truth;0.01671488267438123
soul;hand;0.01641949152542373
soul;tyrant;0.01641949152542373
man;master;0.016221873364730507
justice;Glaucon;0.015965939329430547
justice;point;0.015965939329430547
justice;reward;0.015965939329430547
man;ruler;0.015698587127158554
man;unjust;0.015698587127158554
justice;hand;0.015433741351782864
justice;law;0.015433741351782864
justice;unjust;0.015433741351782864
soul;Er;0.015360169491525424
soul;beautify;0.015360169491525424
soul;eye;0.015360169491525424
soul;god;0.015360169491525424
soul;mind;0.015360169491525424
soul;year;0.015360169491525424
man;age;0.015175300889586603
man;bodily;0.015175300889586603
man;knowledge;0.015175300889586603
state;hand;0.014786242365798778
state;part;0.014786242365798778
state;power;0.01446480231436837
state;eye;0.014143362262937963
state;govern;0.013500482160077145
state;potter;0.013500482160077145
state;one;0.013179042108646738
state;view;0.01285760205721633
state;gold;0.012214721954355513
state;time;0.012214721954355513
state;kind;0.011893281902925105
state;principle;0.011893281902925105
state;protect;0.011893281902925105
state;reason;0.011893281902925105
state;virtue;0.011893281902925105
state;art;0.011571841851494697
state;whole;0.011250401800064288
state;bodily;0.01092896174863388
state;anything;0.010607521697203472
state;constitutes;0.010607521697203472
state;husbandman;0.010607521697203472
state;number;0.010607521697203472
state;character;0.010286081645773062
state;form;0.010286081645773062
state;purport;0.010286081645773062
state;question;0.010286081645773062
state;answer;0.009964641594342655
state;friend;0.009964641594342655
state;head;0.009964641594342655
state;evil;0.009643201542912247
state;qualities;0.00932176149148184
